agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
009,"Department of Health and Human Services",009-000402093,"FDA CDER OTS Product Review & Approval","Risk Based Tools: Limit the time it takes OCS staff and contractors to process initial Clinsite.xpt..","Strategic and Business Results","Number of Days",Monthly,,"Under target",3,,2022-08-31,3,MET,false,"2022-10-27 08:45:34"
009,"Department of Health and Human Services",009-000001476,"OS ASA Accounting for Pay System (AFPS)","Payroll SF 224 information will be submitted to Treasury within 3 business day of the following month.","Strategic and Business Results",%,Monthly,,"Over target",96,,,,,false,"2022-10-27 11:32:54"
009,"Department of Health and Human Services",009-000439257,"ACF Unaccompanied Children (UC) (ORR)","Update the Agile Systems Roadmap to accommodate the changes in the program prioritization
","Strategic and Business Results","Percentage ",Semi-Annual,0,"Over target",95,,2023-06-30,62,"NOT MET",false,"2023-07-26 14:09:38"
009,"Department of Health and Human Services",009-000454173,"CDC NCIRD Immunization Gateway","Help Desk: Mean Time to Resolution % of Severe & Critical issues resolved w/in 48 hours","Customer Satisfaction",Percent,Annual,95,"Under target",95,,2022-09-20,92,MET,false,"2022-10-13 11:45:31"
009,"Department of Health and Human Services",009-000452168,"IHS Modernization Health IT System & Support (mHITSS) ","Reporting against the total number of deliverables submitted, in progress, not started.","Strategic and Business Results",Number,Monthly,,"Over target",1,,2023-06-19,7,MET,false,"2023-07-24 10:58:34"
009,"Department of Health and Human Services",009-000277861,"CDC World Trade Center Program Management and Administration","The investment will work will all stakeholders to ensure accuracy in the reporting the PCR - Plan All-Cause Readmission is certified NCQA HEDIS measure used to calculate the number of observed and risk adjusted expected hospital readmission.  WTCHP observed hospital rate of 7% significantly lower than risk adjusted readmission rate of 59%. IT will ensure the data is available and accurate to 100% to ensure the reporting of the PCR is reliable. ","Strategic and Business Results","Percent of Hospital Readmission",Annual,,"Under target",100,,2022-12-22,100,MET,false,"2023-07-24 09:05:12"
009,"Department of Health and Human Services",009-000461760,"CDC Natl Ctr For Emerging and Zoonotic Infectious Diseases HHS Protect","Monthly and progressive assessment report of 5 use targets:
User base
Compute and storage
Analytic data processing
Data Interconnections
Cloud environment
optimization
To evaluate usage compared to licensing levels to allow for scalable licensing and services.","Strategic and Business Results","Number of Assessment Report",Monthly,,"Over target",12,,2023-06-20,8,"NOT MET",false,"2023-07-24 09:05:17"
009,"Department of Health and Human Services",009-000454173,"CDC NCIRD Immunization Gateway","IZG Reliability: Failures/year, i.e., any component of IZG requires an unscheduled restart","Strategic and Business Results",Number,Annual,6,"Under target",6,,2022-09-20,4,MET,false,"2022-10-13 11:45:31"
009,"Department of Health and Human Services",009-000001476,"OS ASA Accounting for Pay System (AFPS)","Payroll errors will be corrected within the quarter.","Strategic and Business Results",%,Quarterly,,"Over target",96,,,,,false,"2022-10-27 11:32:54"
009,"Department of Health and Human Services",009-000276359,"FDA CTP Regulatory Submission Receipt and Analysis","Increase percentage of electronic submission","Strategic and Business Results",Percentage,Quarterly,,"Over target",40,,2023-03-31,84.35,MET,false,"2023-04-26 12:02:52"
009,"Department of Health and Human Services",009-000001474,"CMS Beneficiary e-Services","Schedule Performance Index for Call Center System","Strategic and Business Results",Number,Monthly,,"Over target",0.91,,2023-06-30,0.98,MET,false,"2023-07-24 16:56:42"
009,"Department of Health and Human Services",009-000445597,"CMS Medicare Beneficiary Enrollment Data Management Cloud","Percentage of Moderate priority Problem Tickets generated post-implementation relative to the total number of Change Requests implemented","Customer Satisfaction","Percentage ",Quarterly,,"Under target",25,,2023-06-15,15,MET,false,"2023-06-29 14:57:32"
009,"Department of Health and Human Services",009-000001476,"OS ASA Accounting for Pay System (AFPS)","PSC Customer Satisfaction Survey responses will be ""Satisfactory"" or above.","Customer Satisfaction",%,Monthly,,"Over target",91,,,,,false,"2022-10-27 11:32:54"
009,"Department of Health and Human Services",009-000276109,"HRSA - Bureau of Primary Health Care BPHC Health Center  Management Information System BHCMIS","Average response time of webs requests","Strategic and Business Results","Seconds to response",Quarterly,,"Under target",2,,2023-07-06,0.43,MET,false,"2023-07-24 11:37:00"
009,"Department of Health and Human Services",009-000005318,"FDA ORA Automated Laboratory Management","LIMS Help Desk ticket response during business hours","Strategic and Business Results","% of tickets responded to within 30 min",Monthly,,"Over target",95,,2023-05-12,100,MET,false,"2023-05-23 19:40:01"
009,"Department of Health and Human Services",009-000276359,"FDA CTP Regulatory Submission Receipt and Analysis","Reduce unscheduled system downtime","Strategic and Business Results",Occurance,Quarterly,,"Under target",20,,2023-03-31,1,MET,false,"2023-04-26 12:02:53"
009,"Department of Health and Human Services",009-000001372,"CDC PHIN: BioSense","Portion of records received in the BioSense Platform within 24 hours of patient visit","Strategic and Business Results",Percentage,Semi-Annual,,"Over target",70,,2023-07-05,90,MET,false,"2023-07-24 09:05:17"
009,"Department of Health and Human Services",009-000276359,"FDA CTP Regulatory Submission Receipt and Analysis","Percentage of closed Help Desk tickets","Strategic and Business Results",Percentage,Monthly,,"Over target",80,,2023-04-30,80.77,MET,false,"2023-05-23 19:40:01"
009,"Department of Health and Human Services",009-000001479,"OS ASA Debt Management and Collection System (DMCS)","All Quarterly Treasury Reports on Receivables will be prepared accurately and transmitted to the Department of the Treasury within 15 days of quarter end.","Strategic and Business Results",%,Quarterly,,"Over target",99,,,,,false,"2022-10-27 11:32:54"
009,"Department of Health and Human Services",009-000451433,"CMS Multidimensional Insurance Data Analytics (MIDAS)","Cost Variance","Financial Performance",percentage,Monthly,,"Under target",95,,2023-06-10,80.96,MET,false,"2023-06-29 14:57:32"
009,"Department of Health and Human Services",009-000276359,"FDA CTP Regulatory Submission Receipt and Analysis","Not to exceed 25% delta on planned costs","Financial Performance",Percentage,Monthly,,"Under target",25,,2023-04-30,0.21,MET,false,"2023-05-23 19:40:02"
009,"Department of Health and Human Services",009-000446134,"CMS Medicare Secondary Payer Systems (MSPS) 2.0","System Average Monthly Response Times","Strategic and Business Results",Number,Monthly,,"Under target",0.5,,2023-07-07,0.5,MET,false,"2023-07-24 16:57:12"
009,"Department of Health and Human Services",009-000001372,"CDC PHIN: BioSense","Percent of valid records received into the BioSense Platform","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,2023-07-05,98,MET,false,"2023-07-24 09:05:18"
009,"Department of Health and Human Services",009-000281361,"CMS Fraud Prevention System (FPS)","Story Success Rate: Stories approved by Product Owner versus stories that require Product Owner approval","Customer Satisfaction",Percentage,Monthly,,"Over target",90,,2023-05-31,91,MET,false,"2023-07-24 16:57:02"
009,"Department of Health and Human Services",009-000001408,"NIH ES Business Intelligence System (NBIS)","Number of NIH employees using the business intelligence capability","Strategic and Business Results","Number of Users",Semi-Annual,2000,"Over target",2800,,2023-04-18,2850,MET,false,"2023-04-26 09:55:07"
009,"Department of Health and Human Services",009-000462734,"CMS Hospital Quality Reporting (HQR 2.0)","Percentage of points refined for the upcoming Program Increment.

DATA SOURCE: Refinement spreadsheet distributed by PM3","Strategic and Business Results",Percentage,Quarterly,,"Over target",90,,2023-07-18,120,MET,false,"2023-07-24 16:56:54"
009,"Department of Health and Human Services",009-000435476,"FDA CDER Opioid Data Warehouse and Analytics","ODW System throughput: Number of concurrent sessions system can handle","Strategic and Business Results",Number,Semi-Annual,,"Over target",5,,2023-03-31,5,MET,false,"2023-04-25 16:34:39"
009,"Department of Health and Human Services",009-000001408,"NIH ES Business Intelligence System (NBIS)","Percentages of tickets resolved within 30 days","Customer Satisfaction",Percentage,Monthly,96,"Over target",95,,2023-05-31,98,MET,false,"2023-06-22 14:52:10"
009,"Department of Health and Human Services",009-000462870,"CMS MAC IT","Percentage of MAC contracts meeting or exceeding Quality Assurance Plans standards for MCS Claims Processing Timeliness.","Strategic and Business Results",Percent,Monthly,,"Over target",95,,2023-06-30,100,MET,false,"2023-07-24 16:57:00"
009,"Department of Health and Human Services",009-000461748,"CDC OFR Appian Platform","Defect validation begins within 1 business hour with resolution within 8 hours","Financial Performance",Hours,Semi-Annual,,"Over target",10,,2023-06-01,11,MET,false,"2023-07-25 15:51:27"
009,"Department of Health and Human Services",009-000406261,"CMS National Plan and Provider Enumeration System (NPPES)","Customer satisfaction survey","Customer Satisfaction",Point,Quarterly,,"Over target",4.5,,2023-04-19,4.91,MET,false,"2023-06-29 14:57:28"
009,"Department of Health and Human Services",009-000001408,"NIH ES Business Intelligence System (NBIS)","Service  available for use by the customers within the agreed service time","Strategic and Business Results",Percentage,Monthly,99.9,"Over target",99.9,,2023-05-31,99.9,MET,false,"2023-06-22 14:52:10"
009,"Department of Health and Human Services",009-000402093,"FDA CDER OTS Product Review & Approval","Complis: Inspections Tracked To Completion","Strategic and Business Results","# of Inspection Assignments recorded",Monthly,,"Over target",99,,2022-08-31,145,MET,false,"2022-10-27 08:45:31"
009,"Department of Health and Human Services",009-000004158,"HRSA - BHW Management Information System Solution (BMISS)","Retention rate of clinicians one year after the completion of their service contract","Customer Satisfaction",Percent,Annual,,"Over target",75,,2022-09-30,83.6,MET,false,"2022-11-23 07:53:05"
009,"Department of Health and Human Services",009-000340290,"HHS Financial Business Intelligence System (FBIS) Investment","FBIS System Availability","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,2023-06-30,100,MET,false,"2023-07-24 11:53:50"
009,"Department of Health and Human Services",009-000005234,"CMS One Program Integrity (One PI)","Total Combined (virtual & instructor led) student training contacts per month","Strategic and Business Results",Number,Monthly,,"Over target",15,,2023-04-03,15,MET,false,"2023-06-07 13:20:32"
009,"Department of Health and Human Services",009-000461775,"CDC NCIRD Tiberius Platform","Established Data interfaces available for automated data exchange","Strategic and Business Results","Percent ",Quarterly,,"Over target",99,,2023-06-30,100,MET,false,"2023-07-24 09:05:16"
009,"Department of Health and Human Services",009-000340290,"HHS Financial Business Intelligence System (FBIS) Investment","Total Number of Reports executed in FBIS","Strategic and Business Results",Number,Monthly,,"Over target",60000,,2023-06-30,323773,MET,false,"2023-07-24 11:53:50"
009,"Department of Health and Human Services",009-000406261,"CMS National Plan and Provider Enumeration System (NPPES)","NPPES Uptime: Percentage of unscheduled downtime for core functionality of NPPES","Strategic and Business Results",Percent,Monthly,,"Over target",95,,,,,false,"2022-10-13 11:56:06"
009,"Department of Health and Human Services",009-000004658,"OS ASFR HHS Consolidated Acquisition Solution","HCAS will be available 24/7, excluding scheduled business/system maintenance and network outages.","Strategic and Business Results",Percent,Monthly,,"Over target",99.8,,,,,false,"2022-10-18 13:33:24"
009,"Department of Health and Human Services",009-000340290,"HHS Financial Business Intelligence System (FBIS) Investment","Maintain investment cost variance of 10% or less","Financial Performance",Percentage,Annual,,"Under target",10,,2022-09-30,-0.15,MET,false,"2022-10-27 11:54:48"
009,"Department of Health and Human Services",009-000333912,"CMS Eligibility Appeals Operations Service Information Technology (EAOS IT)",Budget,"Financial Performance",Numbers,Quarterly,3,"Over target",3,,,,,false,"2022-10-19 11:29:08"
009,"Department of Health and Human Services",009-000445597,"CMS Medicare Beneficiary Enrollment Data Management Cloud","Completion of Required System Security Documentation by established deadlines","Strategic and Business Results",Percentage,Quarterly,,"Over target",80,,2023-06-15,100,MET,false,"2023-06-29 14:57:31"
009,"Department of Health and Human Services",009-000334166,"FDA CTP Organizational Operations","Percentage of closed support request tickets","Strategic and Business Results",Percentage,Monthly,,"Over target",80,,2023-04-30,100,MET,false,"2023-05-23 19:40:09"
009,"Department of Health and Human Services",009-000004658,"OS ASFR HHS Consolidated Acquisition Solution","Reduction in HCAS O&M funding requested by Fiscal Year.","Financial Performance",Percent,Annual,,"Over target",0,,,,,true,"2022-10-18 13:33:25"
009,"Department of Health and Human Services",009-000004158,"HRSA - BHW Management Information System Solution (BMISS)","(Submitted review not started  + Submitted ineligible)/Total not awarded
This metric measures how well the BMISS Platform limits the  review work our bureau staff must provide.  ","Financial Performance",Percent,Annual,,"Over target",30,,2022-09-30,31,MET,false,"2022-11-23 07:53:05"
009,"Department of Health and Human Services",009-000446134,"CMS Medicare Secondary Payer Systems (MSPS) 2.0","Percentage of service requests (SR) closed within 30 days","Customer Satisfaction",Percentage,Quarterly,,"Over target",80,,2023-07-07,92,MET,false,"2023-07-24 16:57:09"
009,"Department of Health and Human Services",009-000005234,"CMS One Program Integrity (One PI)","Maintain Cost Variance within 10% of Plan","Financial Performance",Percent,Monthly,,"Under target",10,,2023-04-11,1,MET,false,"2023-06-07 13:20:32"
009,"Department of Health and Human Services",009-000004158,"HRSA - BHW Management Information System Solution (BMISS)","Average Response Time of SDMS Extranet","Strategic and Business Results",Seconds,Monthly,,"Under target",5,,2023-06-30,2.36,MET,false,"2023-07-24 11:37:00"
009,"Department of Health and Human Services",009-000446134,"CMS Medicare Secondary Payer Systems (MSPS) 2.0","Annual COB-R Program Return on Investment (ROI)","Strategic and Business Results",Number,Annual,,"Over target",3500,,2023-01-30,9.1,"NOT MET",false,"2023-02-02 14:00:45"
009,"Department of Health and Human Services",009-000001405,"NIH CC Clinical Research Information System (CRIS)","Percent of Service tickets resolved within one business day using data provided by the Remedy Ticket System","Customer Satisfaction",Percent,Monthly,,"Over target",64,,2023-06-30,72.8,MET,false,"2023-07-24 11:08:44"
009,"Department of Health and Human Services",009-000318789,"FDA CDER Integrated Data Management","Increase visibility of master data through common web services","Strategic and Business Results",%,Monthly,,"Over target",95,,2023-04-30,100,MET,false,"2023-05-23 19:40:10"
009,"Department of Health and Human Services",009-000004658,"OS ASFR HHS Consolidated Acquisition Solution","Percent of FAR FACs deployed to HCAS within 60 business days of receipt and acceptance from the software vendor.","Customer Satisfaction",Percent,Semi-Annual,,"Over target",99.9,,,,,false,"2022-10-18 13:33:25"
009,"Department of Health and Human Services",009-000439249,"CMS Integrated Data Repository Cloud (IDRC)","IDRC maintains necessary integrity for all legal issues","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,2023-06-30,100,MET,false,"2023-07-24 16:57:04"
009,"Department of Health and Human Services",009-000001405,"NIH CC Clinical Research Information System (CRIS)","The number of SCR (System Change Requests) entered per quarter that are processed by CRIS O & M Staff based on data collected and reported by our configuration management system","Strategic and Business Results",Number,Quarterly,,"Over target",315,,2023-06-30,555,MET,false,"2023-07-24 11:08:44"
009,"Department of Health and Human Services",009-000004255,"CMS Part A Claims Processing","The percentage of code Unit/Alpha tested prior to delivering to Beta","Strategic and Business Results",Percentage,Quarterly,,"Over target",90,,2023-04-28,92.16,MET,false,"2023-06-29 14:57:28"
009,"Department of Health and Human Services",009-000406261,"CMS National Plan and Provider Enumeration System (NPPES)","Paper Applications Processed by NPPES","Strategic and Business Results",Percent,Monthly,,"Over target",75,,2023-03-31,73.22,"NOT MET",false,"2023-04-20 16:10:23"
009,"Department of Health and Human Services",009-000001380,"CDC Natl Ctr For Emerging and Zoonotic Infectious Diseases NHSN Systems","Long Term Care Facility Center enrollment","Strategic and Business Results",%,Monthly,90,"Over target",100,,2023-05-23,100,MET,false,"2023-05-31 08:21:47"
009,"Department of Health and Human Services",009-000446134,"CMS Medicare Secondary Payer Systems (MSPS) 2.0","Completion of SSP, RA, CP/DR Plan, CP/DR Test updates, and Annual Controls Testing by established deadlines","Strategic and Business Results",Number,Monthly,,"Over target",10,,2023-07-07,10,MET,false,"2023-07-24 16:57:11"
009,"Department of Health and Human Services",009-000406264,"CMS Internet Quality Improvement and Evaluation System (iQIES)","Resolve the majority of calls to the iQIES Service Center during the original contact","Customer Satisfaction",Percent,Monthly,,"Over target",80,,2023-07-19,90,MET,false,"2023-07-24 16:57:03"
009,"Department of Health and Human Services",009-000001405,"NIH CC Clinical Research Information System (CRIS)","The number of SCR completed by CRIS O&M staff per month based on data collected and reported by our configuration management system","Strategic and Business Results",Number,Monthly,,"Over target",66,,2023-06-30,214,MET,false,"2023-07-24 11:08:46"
009,"Department of Health and Human Services",009-000402093,"FDA CDER OTS Product Review & Approval","MAED: Ensure customer usefulness and satisfaction with overall tool performance, training, and services by keeping the average tool value rating at a score of 5 or higher among survey participants.","Customer Satisfaction","Average Survey Rating",Annual,,"Over target",5,,,,,false,"2022-10-27 08:45:27"
009,"Department of Health and Human Services",009-000001482,"OS ASA Payment Management System (PMS)","Percent of email and voicemail received by the PMS Help Desk responded to within one (1) business day.","Customer Satisfaction",%,Monthly,100,"Over target",99.5,,,,,false,"2023-01-23 10:36:07"
009,"Department of Health and Human Services",009-000004255,"CMS Part A Claims Processing","The percentage of questions closed within contract performance metric","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,2023-05-31,93.7,MET,false,"2023-06-29 14:57:30"
009,"Department of Health and Human Services",009-000316503,"CMS MACBIS (Medicaid & CHIP Business Information and Solutions)","0 linting errors and 0 warning with an exception where error or warning doesn't require remediation in a situation such as a false positive test result.","Strategic and Business Results",Percentage,Monthly,,"Under target",15,,2023-07-10,0,MET,false,"2023-07-24 16:57:11"
009,"Department of Health and Human Services",009-000005234,"CMS One Program Integrity (One PI)","The percentage of new and existing users who are ""satisfied"" to ""highly satisfied"" with the analytic capabilities of the system based on survey results.","Customer Satisfaction",Percent,Semi-Annual,,"Over target",80,,2022-11-28,95,MET,false,"2023-04-03 11:16:50"
009,"Department of Health and Human Services",009-000406264,"CMS Internet Quality Improvement and Evaluation System (iQIES)","Percent of total business value derived during each program iteration (is what was promised to be delivered actually delivered)","Strategic and Business Results",Percent,Quarterly,,"Over target",99,,2023-05-31,99,MET,false,"2023-07-24 16:57:01"
009,"Department of Health and Human Services",009-000001405,"NIH CC Clinical Research Information System (CRIS)","The mean score for the users  overall satisfied with the CRIS traning Program based on student satisfaction survey","Customer Satisfaction","Likert Scale",Monthly,,"Over target",4.2,,2023-06-30,4.27,MET,false,"2023-07-24 11:08:45"
009,"Department of Health and Human Services",009-000452304,"CMS RAC Program Support","Tracking of CMS New Issues",Innovation,Number,Annual,,"Over target",210,,,,,false,"2022-10-13 11:56:07"
009,"Department of Health and Human Services",009-000004255,"CMS Part A Claims Processing","The number of problems that were not closed timely and accurately.","Customer Satisfaction",Number,Monthly,,"Under target",3,,2023-05-31,0,MET,false,"2023-06-29 14:57:30"
009,"Department of Health and Human Services",009-000001468,"CMS Healthcare Integrated General Ledger Accounting System (HIGLAS)","Percent of program deliverables accepted according to schedule","Customer Satisfaction",Percentage,Quarterly,,"Over target",90,,2023-03-31,100,MET,false,"2023-05-23 19:22:49"
009,"Department of Health and Human Services",009-000005316,"FDA ORA Regulatory Business Information Services","ORADSS training session attendance.  This demonstrates the ongoing effort to help users leverage the business intelligence capabilities of ORADSS.","Strategic and Business Results","# of Bus Center personnel attending training",Annual,,"Over target",125,,2022-10-13,130,MET,false,"2022-10-18 11:47:56"
009,"Department of Health and Human Services",009-000004255,"CMS Part A Claims Processing","Adherence to budget / cost control discipline (as measured by percent below or above planned budget)","Financial Performance",Percentage,Monthly,,"Over target",95,,2023-05-31,100,MET,false,"2023-06-29 14:57:29"
009,"Department of Health and Human Services",009-000454173,"CDC NCIRD Immunization Gateway","Number of provider to IIS data exchange and IIS to IIS data exchange","Strategic and Business Results",Number,Annual,97,"Over target",97,,2022-09-20,97,MET,false,"2022-10-13 11:45:30"
009,"Department of Health and Human Services",009-000004258,"CMS Plan Enrollment (HPMS)","Percentage of HPMS help desk inquiries completed within 24 hours","Customer Satisfaction",Percent,Quarterly,,"Over target",95,,2023-07-06,95.2,MET,false,"2023-07-24 16:57:14"
009,"Department of Health and Human Services",009-000004258,"CMS Plan Enrollment (HPMS)","Percentage of plan bids approved via HPMS in time for the annual election period.","Strategic and Business Results",Percent,Annual,,"Over target",95,,2022-10-07,99.683,MET,false,"2022-10-18 09:00:19"
009,"Department of Health and Human Services",009-000334166,"FDA CTP Organizational Operations","Increase in CBAS end users 
","Strategic and Business Results",Percentage,Quarterly,,"Over target",2,,2023-03-31,4,MET,false,"2023-04-25 16:34:38"
009,"Department of Health and Human Services",009-000004258,"CMS Plan Enrollment (HPMS)","Percentage of contracts approved via HPMS in time for the annual election period.","Strategic and Business Results",Percent,Annual,,"Over target",95,,2022-10-07,99.6,MET,false,"2022-10-18 09:00:18"
009,"Department of Health and Human Services",009-000004255,"CMS Part A Claims Processing","The percentage of change requests delivered to BETA on schedule.","Customer Satisfaction",Percentage,Quarterly,,"Over target",98,,2023-04-28,100,MET,false,"2023-06-29 14:57:27"
009,"Department of Health and Human Services",009-000001384,"CDC Federal Select Agent Program (FSAP)","Resolution of system security vulnerabilities designated at the High or Above level completed within 30 days of discovery.","Customer Satisfaction",Percent,Monthly,,"Over target",99,,2023-06-30,100,MET,false,"2023-07-24 09:05:13"
009,"Department of Health and Human Services",009-000004256,"CMS Part B Claims Processing","The percentage of code Unit/Alpha tested prior to delivering to Beta","Strategic and Business Results",Percentage,Quarterly,,"Over target",90,,2023-04-28,89.11,"NOT MET",false,"2023-06-29 14:57:27"
009,"Department of Health and Human Services",009-000267389,"CMS Federally Facilitated Exchange (FFE)","SLA to respond to tickets ","Strategic and Business Results",Hours,Monthly,,"Under target",6,,2023-07-10,1.4,MET,false,"2023-07-24 16:56:50"
009,"Department of Health and Human Services",009-000005323,"FDA OC Financial Management Information Systems","All 9 Month End reports Delivered on Time","Strategic and Business Results",percent,Monthly,,"Over target",99,,2023-05-15,99,MET,false,"2023-05-23 19:39:59"
009,"Department of Health and Human Services",009-000462748,"CMS Electronic Submission of Medical Documentation (ESMD)","Help Desk tickets resolved within 30 days","Customer Satisfaction",percentage,Quarterly,,"Over target",95,,2023-07-05,96,MET,false,"2023-07-24 16:56:45"
009,"Department of Health and Human Services",009-000004256,"CMS Part B Claims Processing","The percentage of questions closed within contract performance metric","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,2023-05-31,97.8,MET,false,"2023-06-29 14:57:30"
009,"Department of Health and Human Services",009-000001408,"NIH ES Business Intelligence System (NBIS)","Users' level of satisfaction with the ability of a system, system component, or service to perform its required function at a stated instant or over a stated period of time when it is needed.","Customer Satisfaction","Number (1-5) customer survey",Semi-Annual,3,"Over target",3.5,,2023-04-18,4.6,MET,false,"2023-04-26 09:55:10"
009,"Department of Health and Human Services",009-000334166,"FDA CTP Organizational Operations","Growth of Data Management","Strategic and Business Results",Percentage,Semi-Annual,,"Over target",10,,2022-12-31,12,MET,false,"2023-01-25 16:41:23"
009,"Department of Health and Human Services",009-000461748,"CDC OFR Appian Platform","Defect or change request validation begins within 8 hours of notification with monthly reviews of the backlog and prioritization completed monthly. 

",Innovation,Quarterly,Quarterly,,"Under target",10,,2023-06-01,9,MET,false,"2023-07-25 15:51:27"
009,"Department of Health and Human Services",009-000440388,"CMS Medicare Appeals System (MAS 2.0)","Percentage of incidents that were closed timely and efficiently as a result of the MAS Support Desk interaction","Customer Satisfaction",Percent,Monthly,,"Over target",98,,2023-07-10,99,MET,false,"2023-07-24 16:57:10"
009,"Department of Health and Human Services",009-000454173,"CDC NCIRD Immunization Gateway","Jurisdiction or IIS utilizing IZ Gateway for consumer access","Strategic and Business Results",Number,Annual,3,"Over target",3,,2022-09-20,3,MET,false,"2022-10-13 11:45:30"
009,"Department of Health and Human Services",009-000452304,"CMS RAC Program Support","Tracking of Active Suppressions","Customer Satisfaction",Number,Annual,,"Over target",12,,,,,false,"2022-10-13 11:56:07"
009,"Department of Health and Human Services",009-000445581,"CMS Beneficiary Enrollment and Plan Payment for Part C&D Cloud","Active Time For Ad Hoc Data Request","Strategic and Business Results",Number,Monthly,6,"Under target",6,,2023-07-17,26.25,"NOT MET",false,"2023-07-24 16:56:40"
009,"Department of Health and Human Services",009-000004258,"CMS Plan Enrollment (HPMS)","Percentage of satisfied users as captured in the HPMS satisfaction survey.","Customer Satisfaction",Percent,Annual,,"Over target",80,,2023-02-10,81,MET,false,"2023-04-03 11:16:55"
009,"Department of Health and Human Services",009-000001474,"CMS Beneficiary e-Services","Files Processed - NGD files processed by NDW","Strategic and Business Results",percent,Monthly,,"Over target",99.6,,2023-06-30,100,MET,false,"2023-07-24 16:56:41"
009,"Department of Health and Human Services",009-000276359,"FDA CTP Regulatory Submission Receipt and Analysis","iDAT: Reduce unscheduled system downtime","Customer Satisfaction",Occurance,Quarterly,,"Under target",5,,2022-12-31,0,MET,false,"2023-01-27 09:23:08"
009,"Department of Health and Human Services",009-000001413,"NIH ES NIH Business System (NBS)","System Availability excluding scheduled maintenance and releases","Strategic and Business Results",Percentage,Monthly,,"Over target",99.5,,2023-05-31,99.95,MET,false,"2023-07-24 11:08:42"
009,"Department of Health and Human Services",009-000000706,"HRSA - OIT Electronic Handbooks (EHBs)","Page load speed","Customer Satisfaction",Seconds,Monthly,,"Under target",3,,2023-07-07,0.686,MET,false,"2023-07-24 11:37:00"
009,"Department of Health and Human Services",009-000419507,"CMS Identity Management (IDM)","This metric measures the percentage of time the system is available, not including planned outages.","Strategic and Business Results",Percentage,Monthly,,"Over target",99,,2023-07-15,100,MET,false,"2023-07-24 16:56:57"
009,"Department of Health and Human Services",009-000001361,"HRSA - BHW National Practitioner Data Bank (NPDB)","Average response time to return query results","Strategic and Business Results","Number of Minutes",Monthly,,"Over target",1.5,,2023-06-12,0.06,"NOT MET",false,"2023-06-21 15:54:51"
009,"Department of Health and Human Services",009-000005317,"FDA ORA Systems for Inspections, Recalls, Compliance and Enforcement (SIRCE)","Story Point Cost per DME Release.","Financial Performance","Dollars per  each Story Point",Semi-Annual,7500,"Under target",10000,,2023-01-15,5172,MET,false,"2023-03-24 10:29:08"
009,"Department of Health and Human Services",009-000407564,"CMS Central Data Abstraction Tool (CDAT) Modernized","CDAT Response Times - Average response time measured in seconds","Strategic and Business Results",Time,Monthly,,"Under target",5,,2023-02-28,1.57,MET,false,"2023-03-24 16:49:42"
009,"Department of Health and Human Services",009-000005344,"FDA CDRH Digital Transformation","Increase core business function efficiency of medical device review and approval through integrated data systems access through the CDRH Decision Management Portal (DMP)","Strategic and Business Results","% of systems integrated",Semi-Annual,,"Over target",4,,2023-03-27,2,"NOT MET",false,"2023-04-28 10:13:48"
009,"Department of Health and Human Services",009-000005317,"FDA ORA Systems for Inspections, Recalls, Compliance and Enforcement (SIRCE)","Prompt response to Severity 1 Help Desk Tickets, as measured by the percentage of Severity 1 Help Desk Tickets acknowledged and investigation begun within 15 minutes.  Metric will measure all tickets received by the contractor over the period","Customer Satisfaction","% of Sev1 HD Tickets",Monthly,98,"Over target",98,,2022-12-15,100,MET,true,"2022-12-27 11:40:08"
009,"Department of Health and Human Services",009-000461747,"CDC Pandemic-Ready Interoperable Modernization Effort (PRIME) System","Prototypes for interoperable ""building blocks"" are flexible tools that can used at the state and local level to get faster more accurate and higher quality data, which also leverages more modern public health data standards.","Strategic and Business Results","Number of STLTs Using Building Block Tool",Annual,,"Over target",3,,,,,false,"2022-10-13 11:45:32"
009,"Department of Health and Human Services",009-000331763,"FDA CDER Regulatory Review Platform","Support Cost per User","Financial Performance",Value,Annual,,"Under target",850,,2022-10-13,342,MET,false,"2022-10-18 13:14:08"
009,"Department of Health and Human Services",009-000353235,"FDA ORA Imports","Number of hours of unplanned system downtime due to application issues for any one system.  Many ORA systems require 24x7 operations to process imports that enter the country throughout the day. If systems are not available, the risk to public health is increased.","Strategic and Business Results","# of hours of unplanned downtime per year",Monthly,,"Under target",12,,2023-04-14,0.75,MET,false,"2023-04-25 16:34:26"
009,"Department of Health and Human Services",009-000331763,"FDA CDER Regulatory Review Platform","Tier II Support: Percent of Medium Tickets Resolved in 5 days","Customer Satisfaction",Percent,Monthly,,"Over target",90,,2023-05-10,90,MET,false,"2023-05-23 19:40:10"
