agencyCode,agencyName,budgetAccountCode,budgetAccountName,fiscalYear,fundingType,amount
021,"Department of Transportation",021-70-1750,"Operations and Training",2024,"Budget Authority",34.560414
021,"Department of Transportation",021-70-1750,"Operations and Training",2024,"Funding Total",49.536509
021,"Department of Transportation",018-80-0800,"Program Administration",2024,"CIO Authority",0
021,"Department of Transportation",018-80-0800,"Program Administration",2024,"Budget Authority",0
021,"Department of Transportation",018-80-0800,"Program Administration",2024,"Funding Total",0.011444
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2024,"CIO Authority",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2024,"Budget Authority",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2024,"Funding Total",0
021,"Department of Transportation",005-04-9914,"Executive Operations",2024,"CIO Authority",12.352
021,"Department of Transportation",005-04-9914,"Executive Operations",2024,"Budget Authority",12.352
021,"Department of Transportation",005-04-9914,"Executive Operations",2024,"Funding Total",12.361385
021,"Department of Transportation",009-25-9915,"National Institutes of Health",2024,"CIO Authority",0
021,"Department of Transportation",009-25-9915,"National Institutes of Health",2024,"Budget Authority",0
021,"Department of Transportation",009-25-9915,"National Institutes of Health",2024,"Funding Total",0
021,"Department of Transportation",343-00-0100,"Salaries and Expenses",2024,"CIO Authority",0
021,"Department of Transportation",343-00-0100,"Salaries and Expenses",2024,"Budget Authority",0
021,"Department of Transportation",343-00-0100,"Salaries and Expenses",2024,"Funding Total",0.020442
021,"Department of Transportation",021-70-1710,"Ready Reserve Force",2024,"CIO Authority",1.944127
021,"Department of Transportation",021-70-1710,"Ready Reserve Force",2024,"Budget Authority",1.934127
021,"Department of Transportation",021-70-1710,"Ready Reserve Force",2024,"Funding Total",1.934127
021,"Department of Transportation",021-50-1400,"Operational Expenses",2024,"CIO Authority",14.415317
021,"Department of Transportation",021-50-1400,"Operational Expenses",2024,"Budget Authority",14.415317
021,"Department of Transportation",021-50-1400,"Operational Expenses",2024,"Funding Total",28.950729
021,"Department of Transportation",474-00-0300,"Office of Museum and Library Services: Grants and Administration",2024,"CIO Authority",0
021,"Department of Transportation",474-00-0300,"Office of Museum and Library Services: Grants and Administration",2024,"Budget Authority",0
021,"Department of Transportation",474-00-0300,"Office of Museum and Library Services: Grants and Administration",2024,"Funding Total",0.121211
021,"Department of Transportation",021-36-1137,"Transit Research",2024,"CIO Authority",0
021,"Department of Transportation",021-36-1137,"Transit Research",2024,"Budget Authority",0
021,"Department of Transportation",021-36-1137,"Transit Research",2024,"Funding Total",0.056535
021,"Department of Transportation",021-36-1125,"Job Access and Reverse Commute Grants",2024,"CIO Authority",0.65
021,"Department of Transportation",021-36-1125,"Job Access and Reverse Commute Grants",2024,"Budget Authority",0.65
021,"Department of Transportation",021-36-1125,"Job Access and Reverse Commute Grants",2024,"Funding Total",0.65
021,"Department of Transportation",021-12-4562,"Administrative Services Franchise Fund",2024,"CIO Authority",40.684631
021,"Department of Transportation",021-12-4562,"Administrative Services Franchise Fund",2024,"Budget Authority",40.684631
021,"Department of Transportation",021-12-4562,"Administrative Services Franchise Fund",2024,"Funding Total",76.99375
021,"Department of Transportation",006-48-1450,"Operations, Research, and Facilities",2024,"CIO Authority",0
021,"Department of Transportation",006-48-1450,"Operations, Research, and Facilities",2024,"Budget Authority",0
021,"Department of Transportation",006-48-1450,"Operations, Research, and Facilities",2024,"Funding Total",2.730218
021,"Department of Transportation",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)",2024,"CIO Authority",1770.9
021,"Department of Transportation",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)",2024,"Budget Authority",1713.557496
021,"Department of Transportation",021-12-8107,"Facilities and Equipment (Airport and Airway Trust Fund)",2024,"Funding Total",1772.487726
021,"Department of Transportation",417-00-0100,"Grants and Administration",2024,"CIO Authority",0
021,"Department of Transportation",417-00-0100,"Grants and Administration",2024,"Budget Authority",0
021,"Department of Transportation",417-00-0100,"Grants and Administration",2024,"Funding Total",0.471052
021,"Department of Transportation",021-04-0102,"Salaries and Expenses",2024,"CIO Authority",3.959564
021,"Department of Transportation",021-04-0102,"Salaries and Expenses",2024,"Budget Authority",3.959564
021,"Department of Transportation",021-04-0102,"Salaries and Expenses",2024,"Funding Total",58.582415
021,"Department of Transportation",024-60-0610,"Operations and Support",2024,"CIO Authority",0
021,"Department of Transportation",024-60-0610,"Operations and Support",2024,"Budget Authority",0
021,"Department of Transportation",024-60-0610,"Operations and Support",2024,"Funding Total",0.059258
021,"Department of Transportation",021-12-8106,"Grants-in-aid for Airports (Airport and Airway Trust Fund)",2024,"CIO Authority",16.288331
021,"Department of Transportation",021-12-8106,"Grants-in-aid for Airports (Airport and Airway Trust Fund)",2024,"Budget Authority",16.288331
021,"Department of Transportation",021-12-8106,"Grants-in-aid for Airports (Airport and Airway Trust Fund)",2024,"Funding Total",16.288331
021,"Department of Transportation",429-00-0200,"Salaries and Expenses",2024,"CIO Authority",0
021,"Department of Transportation",429-00-0200,"Salaries and Expenses",2024,"Budget Authority",0
021,"Department of Transportation",429-00-0200,"Salaries and Expenses",2024,"Funding Total",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2024,"CIO Authority",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2024,"Budget Authority",0
021,"Department of Transportation",021-27-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",2024,"Funding Total",0
021,"Department of Transportation",009-25-9915,"National Institutes of Health",2024,"CIO Authority",0
021,"Department of Transportation",009-25-9915,"National Institutes of Health",2024,"Budget Authority",0
021,"Department of Transportation",009-25-9915,"National Institutes of Health",2024,"Funding Total",0
018,"Department of Education",018-40-0201-0,"Higher Education",2020,"CIO Authority",0
018,"Department of Education",018-40-0201-0,"Higher Education",2020,"Budget Authority",0
018,"Department of Education",018-40-0201-0,"Higher Education",2020,"Funding Total",0.923
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2020,"CIO Authority",0
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2020,"Budget Authority",0
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2020,"Funding Total",621.956448
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2020,"CIO Authority",0
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2020,"Budget Authority",0
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2020,"Funding Total",18.855
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2020,"CIO Authority",0
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2020,"Budget Authority",0
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2020,"Funding Total",75.734034
018,"Department of Education",018-80-0800-0,"Program Administration",2020,"CIO Authority",0
018,"Department of Education",018-80-0800-0,"Program Administration",2020,"Budget Authority",0
018,"Department of Education",018-80-0800-0,"Program Administration",2020,"Funding Total",110.881837
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2020,"CIO Authority",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2020,"Budget Authority",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2020,"Funding Total",0.039
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2020,"CIO Authority",0
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2020,"Budget Authority",0
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2020,"Funding Total",7.881
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2020,"CIO Authority",0
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2020,"Budget Authority",0
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2020,"Funding Total",0.042
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2021,"CIO Authority",0
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2021,"Budget Authority",0
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2021,"Funding Total",7.30729
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2021,"CIO Authority",0
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2021,"Budget Authority",0
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2021,"Funding Total",76.493776
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2021,"CIO Authority",0
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2021,"Budget Authority",0
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2021,"Funding Total",674.00946
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2021,"CIO Authority",0
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2021,"Budget Authority",0
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2021,"Funding Total",19.54126
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2021,"CIO Authority",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2021,"Budget Authority",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2021,"Funding Total",0.0267
018,"Department of Education",018-80-0800-0,"Program Administration",2021,"CIO Authority",0
018,"Department of Education",018-80-0800-0,"Program Administration",2021,"Budget Authority",0
018,"Department of Education",018-80-0800-0,"Program Administration",2021,"Funding Total",120.323777
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2021,"CIO Authority",0
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2021,"Budget Authority",0
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2021,"Funding Total",0.0526
018,"Department of Education",018-40-0201-0,"Higher Education",2021,"CIO Authority",0
018,"Department of Education",018-40-0201-0,"Higher Education",2021,"Budget Authority",0
018,"Department of Education",018-40-0201-0,"Higher Education",2021,"Funding Total",0.929
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2022,"CIO Authority",0
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2022,"Budget Authority",0
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2022,"Funding Total",6.968561
018,"Department of Education",018-40-0201-0,"Higher Education",2022,"CIO Authority",0
018,"Department of Education",018-40-0201-0,"Higher Education",2022,"Budget Authority",0
018,"Department of Education",018-40-0201-0,"Higher Education",2022,"Funding Total",1
018,"Department of Education",018-80-0800-0,"Program Administration",2022,"CIO Authority",0
018,"Department of Education",018-80-0800-0,"Program Administration",2022,"Budget Authority",0
018,"Department of Education",018-80-0800-0,"Program Administration",2022,"Funding Total",147.698879
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2022,"CIO Authority",0
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2022,"Budget Authority",0
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2022,"Funding Total",0.047381
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2022,"CIO Authority",0
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2022,"Budget Authority",0
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2022,"Funding Total",21.485435
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2022,"CIO Authority",0
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2022,"Budget Authority",0
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2022,"Funding Total",730.505668
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2022,"CIO Authority",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2022,"Budget Authority",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2022,"Funding Total",0.046379
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2022,"CIO Authority",0
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2022,"Budget Authority",0
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2022,"Funding Total",72.503211
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2023,"CIO Authority",70.38849
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2023,"Budget Authority",70.445524
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2023,"Funding Total",82.244034
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2023,"CIO Authority",23.723392
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2023,"Budget Authority",23.803385
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2023,"Funding Total",23.829075
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2023,"CIO Authority",0.050453
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2023,"Budget Authority",0.051453
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2023,"Funding Total",0.038087
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2023,"CIO Authority",7.37496
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2023,"Budget Authority",7.358493
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2023,"Funding Total",7.775468
018,"Department of Education",018-40-0201-0,"Higher Education",2023,"CIO Authority",0.015
018,"Department of Education",018-40-0201-0,"Higher Education",2023,"Budget Authority",0.015
018,"Department of Education",018-40-0201-0,"Higher Education",2023,"Funding Total",0.918
018,"Department of Education",018-80-0800-0,"Program Administration",2023,"CIO Authority",164.565969
018,"Department of Education",018-80-0800-0,"Program Administration",2023,"Budget Authority",157.600005
018,"Department of Education",018-80-0800-0,"Program Administration",2023,"Funding Total",160.51799
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2023,"CIO Authority",0.050453
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2023,"Budget Authority",0.051453
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2023,"Funding Total",0.038087
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2023,"CIO Authority",870.617768
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2023,"Budget Authority",859.715959
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2023,"Funding Total",986.507357
018,"Department of Education",018-30-0400-0,"Career, Technical and Adult Education",2023,"CIO Authority",0
018,"Department of Education",018-30-0400-0,"Career, Technical and Adult Education",2023,"Budget Authority",0
018,"Department of Education",018-30-0400-0,"Career, Technical and Adult Education",2023,"Funding Total",0
018,"Department of Education",350-00-4019-0,"EEOC Education, Technical Assistance, and Training Revolving Fund",2023,"CIO Authority",0
018,"Department of Education",350-00-4019-0,"EEOC Education, Technical Assistance, and Training Revolving Fund",2023,"Budget Authority",0
018,"Department of Education",350-00-4019-0,"EEOC Education, Technical Assistance, and Training Revolving Fund",2023,"Funding Total",0
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2024,"CIO Authority",0.048083
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2024,"Budget Authority",0.048083
018,"Department of Education",018-40-4255-0,"Historically Black College and University Capital Financing Direct Loan Financing Account",2024,"Funding Total",0.048083
018,"Department of Education",018-80-0800-0,"Program Administration",2024,"CIO Authority",191.280278
018,"Department of Education",018-80-0800-0,"Program Administration",2024,"Budget Authority",190.742656
018,"Department of Education",018-80-0800-0,"Program Administration",2024,"Funding Total",192.585278
018,"Department of Education",018-40-0201-0,"Higher Education",2024,"CIO Authority",1.053
018,"Department of Education",018-40-0201-0,"Higher Education",2024,"Budget Authority",1.053
018,"Department of Education",018-40-0201-0,"Higher Education",2024,"Funding Total",1.053
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2024,"CIO Authority",1416.45293
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2024,"Budget Authority",1886.883137
018,"Department of Education",018-45-0202-0,"Student Aid Administration",2024,"Funding Total",1416.45293
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2024,"CIO Authority",0.048083
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2024,"Budget Authority",0.048083
018,"Department of Education",018-40-0241-0,"College Housing and Academic Facilities Loans Program Account",2024,"Funding Total",0.048083
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2024,"CIO Authority",12.270501
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2024,"Budget Authority",10.066382
018,"Department of Education",018-80-1400-0,"Office of Inspector General",2024,"Funding Total",12.270501
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2024,"CIO Authority",27.585734
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2024,"Budget Authority",27.502734
018,"Department of Education",018-80-0700-0,"Office for Civil Rights",2024,"Funding Total",27.585734
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2024,"CIO Authority",91.822839
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2024,"Budget Authority",91.822839
018,"Department of Education",018-50-1100-0,"Institute of Education Sciences",2024,"Funding Total",91.822839
018,"Department of Education",350-00-4019-0,"EEOC Education, Technical Assistance, and Training Revolving Fund",2024,"CIO Authority",0
018,"Department of Education",350-00-4019-0,"EEOC Education, Technical Assistance, and Training Revolving Fund",2024,"Budget Authority",0
018,"Department of Education",350-00-4019-0,"EEOC Education, Technical Assistance, and Training Revolving Fund",2024,"Funding Total",0
018,"Department of Education",018-30-0400-0,"Career, Technical and Adult Education",2024,"CIO Authority",0
018,"Department of Education",018-30-0400-0,"Career, Technical and Adult Education",2024,"Budget Authority",0
018,"Department of Education",018-30-0400-0,"Career, Technical and Adult Education",2024,"Funding Total",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2020,"Funding Total",1.3382
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2020,"Funding Total",78.0366
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2020,"Funding Total",6.2744
020,"Environmental Protection Agency",020-00-4372,"Water Infrastructure Finance and Innovation Direct Loan Financing Account",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4372,"Water Infrastructure Finance and Innovation Direct Loan Financing Account",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4372,"Water Infrastructure Finance and Innovation Direct Loan Financing Account",2020,"Funding Total",0.1109
020,"Environmental Protection Agency",020-00-0110,"Buildings and Facilities",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0110,"Buildings and Facilities",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0110,"Buildings and Facilities",2020,"Funding Total",0.496
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2020,"Funding Total",3.5939
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2020,"Funding Total",4.3888
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2020,"Funding Total",76.5407
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2020,"Funding Total",0.7121
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2020,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2020,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2020,"Funding Total",264.5254
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2021,"Funding Total",3.337499
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2021,"Funding Total",93.493548
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2021,"Funding Total",2.614317
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2021,"Funding Total",1.345099
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2021,"Funding Total",261.014438
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2021,"Funding Total",4.248896
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2021,"Funding Total",0.768607
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2021,"Funding Total",85.096654
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2021,"CIO Authority",0
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2021,"Budget Authority",0
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2021,"Funding Total",10.795
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0250-0,"Payment to the Hazardous Substance Superfund",2022,"Funding Total",79.129
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0107-0,"Science and Technology",2022,"Funding Total",83.2449
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0103-0,"State and Tribal Assistance Grants",2022,"Funding Total",7.226
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8153-0,"Leaking Underground Storage Tank Trust Fund",2022,"Funding Total",0.7124
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2022,"Funding Total",6.4345
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2022,"Funding Total",4.108
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2022,"Funding Total",4.5523
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-0108-0,"Environmental Programs and Management",2022,"Funding Total",300.9408
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2022,"CIO Authority",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2022,"Budget Authority",0
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2022,"Funding Total",1.5317
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2023,"CIO Authority",2.921005
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2023,"Budget Authority",2.921005
020,"Environmental Protection Agency",020-00-8221-0,"Inland Oil Spill Programs",2023,"Funding Total",2.921005
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2023,"CIO Authority",0
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2023,"Budget Authority",0
020,"Environmental Protection Agency",020-00-5374-0,"Pesticide Registration Fund",2023,"Funding Total",6.000002
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2023,"CIO Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2023,"Budget Authority",0
020,"Environmental Protection Agency",020-00-4330-0,"Hazardous Waste Electronic Manifest System Fund",2023,"Funding Total",4.277
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2023,"CIO Authority",0.726001
020,"Environmental Protection Agency",020-00-0112-0,"Office of Inspector General",2023,"Budget Authority",0.726001
